TransactionId,Timestamp,Sender,Receiver,OrderingAccount,OrderingName,OrderingStreet,OrderingCountryCityZip,BeneficiaryAccount,BeneficiaryName,BeneficiaryStreet,BeneficiaryCountryCityZip,SettlementDate,SettlementCurrency,SettlementAmount,InstructedCurrency,InstructedAmount,Label
M27,2055-02-20 22:14:00,BANK145,BANK2602,ACCOUNT730,acctname41,address 133,country_city_zip 173,ACCOUNT2924208,acctname80,address 75,country_city_zip 91,290220,currency 14,4347.32904,currency 14,68331104347.32904,1
M28,2055-02-03 13:01:00,BANK577,BANK1682,ACCOUNT32769,acctname100,address 61,country_city_zip 82,ACCOUNT74089,acctname25,address 200,country_city_zip 175,550203,currency 4,142.54,currency 4,142.54,0
M29,2055-02-19 05:42:00,BANK3026,BANK2602,ACCOUNT6644673,acctname73,address 69,country_city_zip 55,ACCOUNT357912,acctname182,address 126,country_city_zip 135,290210,currency 14,7150.73013,currency 11,7150.73013,1
M30,2055-02-10 08:00:00,BANK4625,BANK1682,ACCOUNT3442952,acctname62,address 32,country_city_zip 146,ACCOUNT175617,acctname101,address 101,country_city_zip 102,550213,currency 4,6953.2118,currency 4,6953.2118,1
M31,2055-02-20 05:26:00,BANK50,BANK2602,ACCOUNT238329,acctname105,address 29,country_city_zip 144,ACCOUNT4410945,acctname5,address 91,country_city_zip 38,290216,currency 14,3765.175,currency 14,3765.175,1
M32,2055-02-02 05:42:00,BANK3250,BANK2602,ACCOUNT2744001,acctname18,address 95,country_city_zip 79,ACCOUNT778689,acctname156,address 146,country_city_zip 5,290211,currency 7,9159.8495,currency 7,9159.8495,1
M33,2055-02-05 06:09:00,BANK26,BANK2602,ACCOUNT2299969,acctname30,address 158,country_city_zip 109,ACCOUNT512001,acctname78,address 15,country_city_zip 103,290205,currency 14,3991.05,currency 14,3991.05,0
M34,2055-02-04 13:34:00,BANK10,BANK1682,ACCOUNT614126,acctname158,address 114,country_city_zip 20,ACCOUNT3112137,acctname196,address 94,country_city_zip 65,550203,currency 4,3293.43604,currency 4,3293.43604,1
M35,2055-02-16 19:00:00,BANK530,BANK1682,ACCOUNT13825,acctname11,address 4,country_city_zip 54,ACCOUNT28,acctname144,address 103,country_city_zip 126,550205,currency 4,9695.6641,currency 4,9695.6641,1
M36,2055-02-11 15:01:00,BANK3026,BANK2602,ACCOUNT1601614,acctname130,address 81,country_city_zip 100,ACCOUNT592705,acctname162,address 70,country_city_zip 95,290211,currency 14,3661.75,currency 14,3661.75,0
M37,2055-02-10 03:11:00,BANK1,BANK2602,ACCOUNT5451777,acctname68,address 149,country_city_zip 50,ACCOUNT85185,acctname159,address 189,country_city_zip 1,290210,currency 14,6184.48,currency 14,6184.48,0
M38,2055-02-19 17:58:00,BANK6562,BANK1682,ACCOUNT185194,acctname72,address 84,country_city_zip 161,ACCOUNT1332,acctname13,address 108,country_city_zip 11,550225,currency 4,5811.00546,currency 1,5811.00546,1
M39,2055-02-13 16:00:00,BANK485,BANK2602,ACCOUNT117650,acctname125,address 143,country_city_zip 56,ACCOUNT79508,acctname173,address 150,country_city_zip 93,290205,currency 14,423.46,currency 14,423.46,1
M40,2055-02-09 06:58:00,BANK3601,BANK2602,ACCOUNT216001,acctname198,address 79,country_city_zip 121,ACCOUNT132652,acctname137,address 104,country_city_zip 189,290209,currency 14,9538.02,currency 14,9538.02,0
M41,2055-02-17 00:38:00,BANK785,BANK1682,ACCOUNT3048626,acctname185,address 73,country_city_zip 108,ACCOUNT1815849,acctname42,address 78,country_city_zip 69,550217,currency 10,9847.89,currency 10,9847.89,0
M42,2055-02-02 23:30:00,BANK5042,BANK1682,ACCOUNT3723876,acctname168,address 54,country_city_zip 24,ACCOUNT64001,acctname22,address 153,country_city_zip 159,550202,currency 14,7147.33466,currency 14,7147.33466,1
M43,2055-02-18 17:52:00,BANK442,BANK2602,ACCOUNT1560897,acctname31,address 156,country_city_zip 67,ACCOUNT7189058,acctname64,address 174,country_city_zip 10,290218,currency 3,1863.91548,currency 3,1863.91548,1
M44,2055-02-18 04:19:00,BANK101,BANK1682,ACCOUNT4913001,acctname133,address 87,country_city_zip 53,ACCOUNT729001,acctname67,address 135,country_city_zip 181,550212,currency 4,7392.40247,currency 4,7392.40247,1
M45,2055-02-03 03:50:00,BANK6725,BANK2602,ACCOUNT2048384,acctname26,address 125,country_city_zip 70,ACCOUNT658504,acctname35,address 67,country_city_zip 176,290203,currency 14,7659.77,currency 14,7659.77,0
M46,2055-02-17 03:09:00,BANK2305,BANK2602,ACCOUNT5268025,acctname140,address 14,country_city_zip 71,ACCOUNT681473,acctname48,address 128,country_city_zip 193,290217,currency 5,4770.02,currency 5,4770.02,0
M47,2055-02-19 11:08:00,BANK901,BANK1682,ACCOUNT6751270,acctname199,address 33,country_city_zip 83,ACCOUNT1061209,acctname50,address 190,country_city_zip 186,550206,currency 8,9600.9524,currency 8,9600.9524,1
M48,2055-02-06 12:09:00,BANK2026,BANK2602,ACCOUNT250048,acctname92,address 191,country_city_zip 112,ACCOUNT344,acctname106,address 59,country_city_zip 117,290206,currency 14,7876.17,currency 14,7876.17,0
M49,2055-02-18 14:55:00,BANK37,BANK2602,ACCOUNT103824,acctname66,address 93,country_city_zip 60,ACCOUNT5545234,acctname169,address 24,country_city_zip 23,290218,currency 14,2492.7688,currency 14,2492.7688,1
M50,2055-02-10 02:36:00,BANK1157,BANK1682,ACCOUNT1860868,acctname188,address 56,country_city_zip 177,ACCOUNT1191017,acctname153,address 88,country_city_zip 129,550210,currency 4,6658.81,currency 4,6658.81,0
M51,2055-02-06 09:47:00,BANK290,BANK1682,ACCOUNT5929742,acctname39,address 20,country_city_zip 138,ACCOUNT2097153,acctname177,address 129,country_city_zip 7,550218,currency 4,5691.7648,currency 9,5691.7648,1
M52,2055-02-04 07:50:00,BANK1601,BANK2602,ACCOUNT5639753,acctname10,address 65,country_city_zip 197,ACCOUNT2248092,acctname115,address 96,country_city_zip 52,290223,currency 12,8620.6778,currency 12,8620.6778,1
M53,2055-02-03 00:32:00,BANK122,BANK1682,ACCOUNT2685620,acctname43,address 72,country_city_zip 36,ACCOUNT4914,acctname91,address 57,country_city_zip 149,550203,currency 4,5491.49,currency 4,5491.49,0
M54,2055-02-06 15:23:00,BANK1226,BANK2602,ACCOUNT46657,acctname96,address 195,country_city_zip 2,ACCOUNT2000377,acctname69,address 188,country_city_zip 114,290206,currency 14,9892.77,currency 14,9892.77,0
M55,2055-02-13 04:42:00,BANK626,BANK1682,ACCOUNT3581578,acctname193,address 196,country_city_zip 136,ACCOUNT405225,acctname17,address 168,country_city_zip 142,550204,currency 4,55596.4799,currency 4,55596.4799,1
M56,2055-02-05 00:21:00,BANK1090,BANK1682,ACCOUNT970300,acctname6,address 53,country_city_zip 73,ACCOUNT5359376,acctname97,address 134,country_city_zip 106,550225,currency 4,99260.2861,currency 4,99260.2861,1
M57,2055-02-06 13:38:00,BANK5477,BANK1682,ACCOUNT1295030,acctname28,address 8,country_city_zip 171,ACCOUNT4574297,acctname146,address 89,country_city_zip 122,550213,currency 4,2348.22992,currency 4,2348.22992,1
M58,2055-02-19 09:53:00,BANK2210,BANK2602,ACCOUNT42876,acctname14,address 187,country_city_zip 115,ACCOUNT6028569,acctname176,address 165,country_city_zip 196,290219,currency 14,47662.47,currency 14,47662.47,0
M59,2055-02-01 09:34:00,BANK1025,BANK1682,ACCOUNT24390,acctname187,address 119,country_city_zip 57,ACCOUNT91126,acctname186,address 107,country_city_zip 22,550225,currency 4,3843.6044,currency 2,3843.6044,1
M60,2055-02-11 00:59:00,BANK677,BANK2602,ACCOUNT7880600,acctname34,address 18,country_city_zip 27,ACCOUNT3307950,acctname76,address 99,country_city_zip 164,290211,currency 14,6749.75,currency 14,6749.75,0
M61,2055-02-11 00:16:00,BANK2810,BANK1682,ACCOUNT5832001,acctname20,address 45,country_city_zip 59,ACCOUNT941193,acctname189,address 152,country_city_zip 145,550211,currency 4,4802.38,currency 4,4802.38,0
M62,2055-02-20 15:44:00,BANK2917,BANK1682,ACCOUNT5088449,acctname109,address 164,country_city_zip 96,ACCOUNT1728001,acctname40,address 147,country_city_zip 97,550220,currency 4,7500.81,currency 4,7500.81,0
M63,2055-02-09 15:29:00,BANK257,BANK2602,ACCOUNT35938,acctname123,address 52,country_city_zip 133,ACCOUNT3796417,acctname126,address 25,country_city_zip 192,290216,currency 14,9606.43253,currency 14,9606.43253,1
M64,2055-02-10 00:15:00,BANK3137,BANK1682,ACCOUNT1331001,acctname175,address 43,country_city_zip 18,ACCOUNT274626,acctname171,address 179,country_city_zip 84,550225,currency 4,7383.0563,currency 4,7383.0563,1
M65,2055-02-03 00:53:00,BANK6890,BANK2602,ACCOUNT1030302,acctname108,address 74,country_city_zip 63,ACCOUNT830585,acctname200,address 46,country_city_zip 134,290203,currency 14,5629.54,currency 14,5629.54,0
M66,2055-02-06 07:01:00,BANK1445,BANK1682,ACCOUNT3376,acctname174,address 121,country_city_zip 128,ACCOUNT39305,acctname16,address 26,country_city_zip 15,550203,currency 4,8235.2418,currency 4,8235.2418,1
M67,2055-02-12 15:57:00,BANK170,BANK2602,ACCOUNT300764,acctname180,address 181,country_city_zip 200,ACCOUNT9262,acctname71,address 22,country_city_zip 35,290212,currency 14,6644.01,currency 14,6644.01,0
M68,2055-02-10 04:16:00,BANK1850,BANK1682,ACCOUNT1442898,acctname38,address 55,country_city_zip 29,ACCOUNT314433,acctname148,address 193,country_city_zip 39,550205,currency 4,3501.44287,currency 4,3501.44287,1
M69,2055-02-11 22:33:00,BANK3601,BANK2602,ACCOUNT1124865,acctname110,address 169,country_city_zip 72,ACCOUNT1404929,acctname51,address 35,country_city_zip 13,290211,currency 14,3993.78557,currency 14,3993.78557,1
M70,2055-02-12 08:48:00,BANK197,BANK1682,ACCOUNT6434857,acctname27,address 64,country_city_zip 34,ACCOUNT19684,acctname24,address 142,country_city_zip 61,550212,currency 4,2503.21,currency 4,2503.21,0
M71,2055-02-02 04:49:00,BANK7057,BANK2602,ACCOUNT205380,acctname46,address 163,country_city_zip 92,ACCOUNT636057,acctname52,address 7,country_city_zip 157,290202,currency 14,3914.92,currency 14,3914.92,0
M72,2055-02-12 13:22:00,BANK901,BANK1682,ACCOUNT148878,acctname113,address 3,country_city_zip 143,ACCOUNT1906625,acctname15,address 139,country_city_zip 111,550227,currency 4,1466.1739,currency 13,1466.1739,1
M73,2055-02-12 14:13:00,BANK4357,BANK2602,ACCOUNT2197001,acctname183,address 36,country_city_zip 46,ACCOUNT126,acctname84,address 138,country_city_zip 120,290212,currency 14,102242125966.16,currency 14,5966.16,0
M74,2055-02-10 03:58:00,BANK1522,BANK2602,ACCOUNT217,acctname74,address 167,country_city_zip 6,ACCOUNT1520876,acctname141,address 97,country_city_zip 110,290210,currency 7,5491.15,currency 7,5491.15,0
M75,2055-02-06 05:51:00,BANK3026,BANK2602,ACCOUNT12168,acctname124,address 185,country_city_zip 188,ACCOUNT287497,acctname170,address 49,country_city_zip 74,290205,currency 14,8371.9648,currency 14,8371.9648,1
M76,2055-02-05 03:33:00,BANK5777,BANK2602,ACCOUNT1729,acctname150,address 115,country_city_zip 17,ACCOUNT125001,acctname45,address 28,country_city_zip 137,290205,currency 14,1823.25,currency 14,1823.25,0
M77,2055-02-12 00:37:00,BANK1297,BANK1682,ACCOUNT4096001,acctname184,address 47,country_city_zip 147,ACCOUNT328510,acctname83,address 58,country_city_zip 89,550212,currency 4,6229.52,currency 4,6229.52,0
M78,2055-02-20 14:53:00,BANK50,BANK2602,ACCOUNT15626,acctname63,address 118,country_city_zip 43,ACCOUNT1157626,acctname112,address 131,country_city_zip 64,290202,currency 14,9053.8668,currency 14,9053.8668,1
M79,2055-02-18 03:44:00,BANK4901,BANK2602,ACCOUNT4741633,acctname151,address 50,country_city_zip 87,ACCOUNT97337,acctname139,address 137,country_city_zip 88,290218,currency 14,9590.08,currency 14,9590.08,0
M80,2055-02-20 03:39:00,BANK6085,BANK2602,ACCOUNT27001,acctname23,address 160,country_city_zip 185,ACCOUNT2406105,acctname49,address 194,country_city_zip 125,290220,currency 14,4617.35,currency 14,4617.35,0
